DIRECTORIO,P6081_archivo1,P6083_archivo1,P6088_archivo1,P2061_archivo1,P1070_archivo3,P6160_archivo4,P8586_archivo4,P5010_archivo5,P791_archivo5,P3162_archivo5,P3163_archivo5,P5032_archivo5
7911436,3,3,9.0,1.0,2,1,2,1,1,,,3
7911439,2,2,1.0,2.0,1,1,2,2,1,1.0,21000.0,1
7911444,2,2,3.0,1.0,1,1,2,1,3,,,4
7911447,3,3,4.0,2.0,2,1,2,2,1,1.0,46000.0,1
7911451,3,3,9.0,2.0,1,1,2,3,1,1.0,33000.0,1
7911452,3,3,9.0,1.0,1,1,2,3,1,1.0,32150.0,1
7911454,2,2,9.0,2.0,1,1,2,2,1,1.0,27000.0,3
7911455,3,3,9.0,1.0,1,2,2,1,3,,,4
7911459,2,2,1.0,2.0,2,1,2,1,2,,,4
7911464,2,2,4.0,1.0,1,1,2,1,3,1.0,10500.0,3
7911466,1,2,1.0,1.0,1,1,2,3,1,1.0,23600.0,1
7911467,2,2,10.0,1.0,1,1,2,2,3,1.0,10000.0,4
7911468,3,3,9.0,2.0,1,1,2,1,1,1.0,25000.0,1
7911469,2,2,9.0,1.0,1,2,2,1,3,,,3
7911472,2,2,2.0,1.0,1,1,2,2,3,1.0,15000.0,4
7911474,3,3,2.0,2.0,1,1,2,1,1,1.0,25000.0,1
7911478,2,2,10.0,2.0,2,1,2,1,1,1.0,22000.0,1
7911481,3,3,1.0,2.0,1,1,2,1,1,1.0,35000.0,1
7911483,2,2,9.0,2.0,1,2,2,3,3,,,3
7911486,3,3,1.0,1.0,1,1,2,1,1,1.0,20000.0,3
7911490,2,2,9.0,2.0,2,1,2,2,1,1.0,55000.0,1
7911499,3,3,9.0,1.0,1,1,2,1,3,,,3
7911500,3,2,1.0,2.0,2,1,2,2,1,1.0,52000.0,1
7911509,2,2,3.0,2.0,2,1,2,2,1,1.0,25000.0,1
7911510,2,2,2.0,1.0,1,1,2,1,1,1.0,12000.0,3
7911512,2,2,4.0,2.0,2,1,2,3,1,1.0,15000.0,1
7911518,2,2,1.0,1.0,3,1,2,1,3,,,4
7911528,3,3,2.0,2.0,1,1,2,2,1,1.0,20758.0,1
7911530,2,1,,2.0,1,1,2,3,1,1.0,134000.0,1
7911533,2,2,1.0,2.0,1,1,2,2,1,1.0,15470.0,1
7911537,3,3,9.0,1.0,1,2,2,2,1,1.0,80000.0,1
7911538,2,2,1.0,1.0,3,1,2,1,1,,,3
7911540,3,2,9.0,1.0,1,2,2,1,1,1.0,60000.0,1
7911541,2,2,10.0,1.0,1,1,1,1,3,3.0,,4
7911544,3,3,9.0,2.0,1,2,2,2,1,1.0,60000.0,1
7911546,3,2,2.0,2.0,1,1,2,2,1,1.0,30000.0,1
7911549,3,2,2.0,2.0,2,1,2,2,1,2.0,,1
7911555,2,2,9.0,1.0,1,1,2,1,4,1.0,9570.0,1
7911564,2,2,2.0,2.0,1,1,2,3,3,1.0,45000.0,4
7911565,3,2,1.0,2.0,1,1,2,3,1,1.0,50000.0,4
7911568,2,2,9.0,1.0,1,1,2,2,3,,,4
7911569,2,2,1.0,1.0,1,1,2,1,3,,,3
7911579,3,3,10.0,2.0,1,1,2,3,2,1.0,38000.0,1
7911580,2,2,2.0,2.0,2,1,2,2,1,1.0,25000.0,1
7911585,2,2,2.0,2.0,2,1,2,1,1,1.0,20000.0,1
7911588,2,2,2.0,2.0,1,1,2,1,1,1.0,5000.0,1
7911595,2,3,3.0,2.0,2,1,2,2,1,1.0,38741.0,3
7911596,2,2,2.0,1.0,1,1,2,1,3,1.0,11000.0,4
7911603,3,3,1.0,1.0,1,1,2,2,1,1.0,51000.0,1
7911606,2,2,10.0,2.0,1,1,2,2,1,1.0,40000.0,1
7911607,2,2,10.0,1.0,1,2,2,2,1,1.0,20300.0,1
7911609,3,3,1.0,2.0,1,1,2,2,1,1.0,25000.0,1
7911612,3,3,1.0,2.0,2,1,2,2,1,1.0,67000.0,1
7911615,3,2,9.0,2.0,1,1,2,1,1,1.0,10000.0,1
7911617,3,3,9.0,1.0,1,1,2,1,1,1.0,13250.0,1
7911618,3,3,1.0,2.0,2,1,2,2,1,1.0,44000.0,3
7911628,3,2,10.0,1.0,1,1,2,2,1,1.0,23000.0,1
7911629,3,3,1.0,2.0,1,1,2,1,1,1.0,70000.0,1
7911635,3,2,2.0,2.0,1,1,2,2,1,1.0,29000.0,1
7911640,2,1,,2.0,2,1,2,1,1,1.0,30000.0,1
7911643,2,1,,2.0,1,1,2,3,1,1.0,48774.0,1
7911645,2,2,3.0,2.0,1,1,2,2,1,1.0,25000.0,1
7911658,2,3,10.0,1.0,1,1,2,3,1,1.0,98000.0,4
7911665,3,2,1.0,2.0,2,1,2,2,3,3.0,,3
7911666,3,2,4.0,2.0,2,1,2,2,1,1.0,24000.0,1
7911669,2,2,2.0,1.0,1,1,2,1,1,1.0,20000.0,1
7911671,3,2,2.0,2.0,1,1,2,1,1,1.0,27000.0,1
7911672,3,3,9.0,2.0,1,1,2,1,1,1.0,27000.0,1
7911681,2,2,1.0,1.0,1,1,2,1,1,1.0,100000.0,3
7911682,3,3,7.0,2.0,2,1,2,2,1,1.0,38000.0,1
7911722,2,2,1.0,1.0,4,1,2,1,3,,,4
7911746,3,2,4.0,2.0,1,1,2,1,1,1.0,15000.0,1
7911753,3,2,9.0,2.0,1,1,2,1,3,,,4
7911756,2,2,9.0,2.0,1,1,2,1,3,,,4
7911766,2,2,2.0,2.0,1,1,2,3,1,1.0,80000.0,1
7911781,3,3,10.0,1.0,1,1,2,2,1,,,4
7911783,2,2,1.0,1.0,1,1,2,2,3,,,4
7911787,2,2,9.0,2.0,1,1,2,2,3,1.0,10000.0,4
7911789,2,2,2.0,2.0,1,1,2,2,1,1.0,20000.0,1
7911790,2,2,3.0,2.0,2,1,2,2,1,1.0,18976.0,1
7911791,3,3,10.0,2.0,2,1,2,1,1,1.0,29000.0,1
7911794,3,3,9.0,1.0,1,2,2,1,1,1.0,37720.0,4
7911796,2,2,1.0,1.0,1,1,2,2,3,1.0,31408.0,4
7911798,2,2,1.0,1.0,1,1,2,1,3,1.0,80000.0,4
7911800,3,3,9.0,2.0,1,1,2,2,1,1.0,45000.0,1
7911801,3,3,9.0,1.0,1,1,2,2,2,1.0,30079.0,4
7911803,3,2,10.0,1.0,1,1,2,1,1,1.0,19425.0,1
7911805,3,2,9.0,1.0,1,1,2,1,1,1.0,15420.0,1
7911808,2,2,1.0,1.0,1,1,2,2,1,1.0,6800.0,1
7911810,2,2,1.0,2.0,1,1,2,3,1,1.0,18000.0,1
7911811,3,2,9.0,2.0,1,1,2,1,1,1.0,5000.0,1
7911812,3,3,9.0,2.0,1,2,2,1,3,,,4
7911813,1,1,,2.0,1,1,2,2,1,1.0,130000.0,1
7911814,2,2,10.0,2.0,1,2,2,2,1,1.0,22000.0,4
7911815,3,3,10.0,2.0,1,1,2,3,1,1.0,30000.0,1
7911816,2,3,10.0,2.0,1,1,2,2,1,1.0,19200.0,1
7911819,3,2,9.0,2.0,2,1,2,2,1,1.0,6500.0,1
7911820,3,2,9.0,1.0,1,1,2,1,1,1.0,22900.0,1
7911821,3,3,1.0,2.0,2,1,2,3,1,1.0,35000.0,1
7911823,2,3,9.0,2.0,1,1,2,3,1,1.0,27000.0,1
7911825,3,3,10.0,2.0,1,1,2,4,1,,,1
7911826,3,1,,2.0,1,1,2,1,1,1.0,20000.0,1
7911827,2,2,4.0,2.0,1,1,2,2,1,1.0,30000.0,1
7911828,3,2,1.0,2.0,1,1,2,3,3,,,4
7911829,2,2,9.0,1.0,4,2,2,1,3,,,4
7911830,3,1,,2.0,1,1,2,2,3,,,4
7911831,3,3,1.0,2.0,1,1,2,2,1,1.0,35000.0,4
7911834,2,2,4.0,2.0,1,1,2,2,3,,,4
7911835,2,2,9.0,2.0,2,1,2,1,1,1.0,44206.0,1
7911836,2,2,2.0,2.0,2,1,2,2,3,1.0,12000.0,4
7911837,3,3,2.0,1.0,1,1,2,1,1,1.0,11800.0,4
7911838,2,2,9.0,9.0,4,2,2,1,3,,,4
7911842,2,2,1.0,2.0,1,1,2,1,1,1.0,50000.0,1
7911843,2,1,,2.0,1,1,2,1,3,,,3
7911846,3,3,10.0,1.0,1,2,2,2,1,,,3
7911847,2,2,4.0,1.0,1,1,2,2,3,,,4
7911855,3,2,2.0,2.0,1,1,2,2,1,1.0,26000.0,1
7911857,2,2,1.0,2.0,1,1,2,3,1,1.0,58000.0,4
7911859,3,1,,2.0,2,1,2,2,1,1.0,15000.0,1
7911860,2,2,2.0,2.0,1,1,2,3,3,,,4
7911862,2,2,9.0,2.0,1,1,2,2,3,,,4
7911865,3,3,9.0,1.0,1,1,2,2,3,,,4
7911866,2,2,4.0,2.0,1,1,2,2,3,,,4
7911868,3,2,9.0,2.0,1,1,2,2,1,1.0,20000.0,1
7911870,3,3,9.0,1.0,1,1,2,2,1,1.0,26119.0,1
7911873,2,2,3.0,2.0,1,1,2,1,1,1.0,16000.0,4
7911874,2,3,9.0,1.0,1,2,2,1,1,1.0,60374.0,4
7911877,2,2,1.0,2.0,4,1,2,2,3,,,4
7911879,2,2,1.0,1.0,1,1,2,2,3,,,4
7911881,3,3,9.0,2.0,1,1,2,2,1,1.0,31000.0,4
7911883,2,2,9.0,1.0,1,2,2,1,1,,,1
7911886,2,2,9.0,2.0,1,2,2,2,1,1.0,28852.0,1
7911892,3,2,1.0,1.0,1,1,2,3,1,1.0,58000.0,3
7911894,2,3,1.0,2.0,1,1,2,2,1,1.0,14000.0,4
